Permission
can_decline_loan
can_initiate_loan
can_approve_loan
can_log_payment
can_view_payment_log
can_approve_payment
can_create_admin
can_create_operator
can_reset_password
can_deactivate_account
can_activate_account
can_view_admin_list
can_view_operator_list
